Detector,Sli,Guard,Pfa,N,NMoments,Images,ShipsTotal,ShipsDetected,Pd_pooled,FalsePixels,BackgroundPixels,Pfa_pooled,PfaRatio,TP,FP,FN,Precision_pooled,Recall_pooled,F1_pooled,FractionInvalid,CoverageFraction,MaxLogMismatchPct,MedianShape,IQRShape,MedianC2,MedianSkew,EstMsPerMP,TotalMsPerMP
GenGamma-exact,21,15,1e-06,216,3,100,238,73,0.30672268907563,20985,10578292,0.00198377961205836,1983.77961205836,224,13287,165,0.01657908370957,0.575835475578406,0.0322302158273381,0.323727354859581,0.676272645140419,0,1.05515517052851,1.50756893998104,0.11367450937977,-1.61736928637605,617.201037370808,1639.08213848072
Lognormal,21,15,1e-06,216,2,100,238,7,0.0294117647058824,307,15909731,1.92963664816206e-05,19.2963664816206,7,42,231,0.142857142857143,0.0294117647058824,0.0487804878048781,0,1,0,0.337153511925649,0.0689165444630195,0.11367450937977,-1.61736928637605,15.0954506903792,335.823419980277
Weibull,21,15,1e-06,216,2,100,238,95,0.399159663865546,11356,15909731,0.000713776995978122,713.776995978122,167,2768,143,0.0568994889267462,0.538709677419355,0.102927580893683,0,1,0,3.80412056451814,0.730223286850605,0.11367450937977,-1.61736928637605,18.5995984865797,338.895583505743
BurrXII,31,21,1e-06,520,3,100,238,29,0.121848739495798,360,6326458,5.69038789161328e-05,56.9038789161328,51,117,209,0.303571428571429,0.196153846153846,0.238317757009346,0.582981242363379,0.417018757636621,0,2.7712453284929,4.08785906701054,0.115131313983988,-1.77079165901267,503.945334055178,865.590428705296
G0,31,21,1e-06,520,3,100,238,13,0.0546218487394958,141,3059130,4.60915358288141e-05,46.0915358288141,23,31,225,0.425925925925926,0.092741935483871,0.152317880794702,0.787611473588954,0.212388526411046,0,9.11861471597374,14.6289662009249,0.115131313983988,-1.77079165901267,5725.30035136258,6323.95141350208
G0-L1,31,21,1e-06,520,2,100,238,6,0.0252100840336134,69,797373,8.65341565365268e-05,86.5341565365268,12,36,232,0.25,0.0491803278688525,0.0821917808219178,0.943092969110205,0.0569070308897955,0,10.4954674286436,13.1555190605339,0.115131313983988,-1.77079165901267,97.2553475054177,467.189961244293
GenGamma,31,21,1e-06,520,3,100,238,93,0.390756302521008,57733,15362017,0.00375816535029222,3758.16535029222,311,30949,145,0.0099488163787588,0.682017543859649,0.0196115525286921,0.03248697645567,0.96751302354433,0,0.346895810072078,0.544489296013796,0.115131313983988,-1.77079165901267,297.857267960364,1814.10415730492
GenGamma-exact,31,21,1e-06,520,3,100,238,88,0.369747899159664,21712,9871596,0.00219944171135042,2199.44171135042,272,12209,150,0.0217931255508373,0.644549763033175,0.0421607378129117,0.364936253873373,0.635063746126627,0,0.620857124140272,0.932509066755153,0.115131313983988,-1.77079165901267,543.375571481811,1538.29619053023
Lognormal,31,21,1e-06,520,2,100,238,12,0.0504201680672269,517,15909731,3.24958354104164e-05,32.4958354104164,15,39,226,0.277777777777778,0.0622406639004149,0.101694915254237,0,1,0,0.339306985972712,0.049011904177359,0.115131313983988,-1.77079165901267,15.9470701636267,346.151289888702
Weibull,31,21,1e-06,520,2,100,238,134,0.563025210084034,10210,15909731,0.000641745608395264,641.745608395265,208,1776,104,0.104838709677419,0.666666666666667,0.181184668989547,0,1,0,3.77997828291169,0.513800438364773,0.115131313983988,-1.77079165901267,19.1540796248043,349.607440114227
BurrXII,41,27,1e-06,952,3,100,238,36,0.151260504201681,422,6177556,6.8311804862635e-05,68.311804862635,66,101,202,0.395209580838323,0.246268656716418,0.303448275862069,0.589641630380417,0.410358369619583,0,2.59421007626872,3.0278003252415,0.116227195784002,-1.82441727370109,487.144546364985,851.499092837326
G0,41,27,1e-06,952,3,100,238,24,0.100840336134454,162,3147040,5.14769434134933e-05,51.4769434134933,41,35,214,0.539473684210526,0.16078431372549,0.24773413897281,0.780336184219924,0.219663815780076,0,7.54975466672404,11.0098388284554,0.116227195784002,-1.82441727370109,5570.7225677228,6177.04830890461
G0-L1,41,27,1e-06,952,2,100,238,7,0.0294117647058824,449,835766,0.000537231713182877,537.231713182877,14,31,231,0.311111111111111,0.0571428571428571,0.096551724137931,0.940361046674244,0.0596389533257561,0,6.23417429688387,10.3207157163488,0.116227195784002,-1.82441727370109,98.3794317158794,473.609489090276
GenGamma,41,27,1e-06,952,3,100,238,100,0.420168067226891,64128,15445115,0.00415199239371154,4151.99239371154,358,32026,138,0.0110548418972332,0.721774193548387,0.0217761557177616,0.027427144592098,0.972572855407902,0,0.298542900548738,0.407344717865749,0.116227195784002,-1.82441727370109,297.357992616938,1828.22009315479
GenGamma-exact,41,27,1e-06,952,3,100,238,95,0.399159663865546,20735,9526808,0.00217648975396586,2176.48975396586,330,10092,143,0.0316637881404721,0.697674418604651,0.0605782469022487,0.385004003055739,0.614995996944261,0,0.656746589044111,0.943209990819761,0.116227195784002,-1.82441727370109,518.945942920067,1496.37232471363
Lognormal,41,27,1e-06,952,2,100,238,20,0.0840336134453782,654,15909731,4.11069175211071e-05,41.1069175211071,23,63,218,0.267441860465116,0.0954356846473029,0.140672782874618,0,1,0,0.340918890778954,0.0393954970798788,0.116227195784002,-1.82441727370109,14.5934208851392,348.891028521562
