Detector,Sli,Guard,Pfa,N,NMoments,Images,ShipsTotal,ShipsDetected,Pd_pooled,FalsePixels,BackgroundPixels,Pfa_pooled,PfaRatio,TP,FP,FN,Precision_pooled,Recall_pooled,F1_pooled,FractionInvalid,CoverageFraction,MaxLogMismatchPct,MedianShape,IQRShape,MedianC2,MedianSkew,EstMsPerMP,TotalMsPerMP,Pfa_CI_Lo,Pfa_CI_Hi,Ratio_CI_Lo,Ratio_CI_Hi,CI_Width
CA-CFAR,41,27,1e-06,952,0,60,131,25,0.190839694656489,350,9394273,3.72567414210764e-05,37.2567414210764,25,42,106,0.373134328358209,0.190839694656489,0.252525252525252,0,1,0,NaN,NaN,0.119847166304702,-1.90016669644414,0,298.39327250737,3.34553995365822e-05,4.13716845606198e-05,33.4553995365822,41.3716845606198,7.91628502403763e-06
G0,41,27,1e-06,952,3,60,131,17,0.129770992366412,133,1799233,7.3920387187207e-05,73.920387187207,17,22,114,0.435897435897436,0.129770992366412,0.2,0.787974071774969,0.212025928225031,0,9.60302371679256,16.6552120145661,0.119847166304702,-1.90016669644414,4003.75684635364,4532.59781289083,6.18923504816154e-05,8.76034151342766e-05,61.8923504816155,87.6034151342766,2.57110646526612e-05
G0-L1,41,27,1e-06,952,2,60,131,6,0.0458015267175573,0,358576,0,0,6,0,125,1,0.0458015267175573,0.0875912408759124,0.958739805579015,0.0412601944209848,0,8.00904665970813,12.7983430960731,0.119847166304702,-1.90016669644414,50.0188540306901,370.744463234328,0,1.02875275510703e-05,0,10.2875275510703,1.02875275510703e-05
GenGamma,41,27,1e-06,952,3,60,131,86,0.656488549618321,36924,9203909,0.00401177369311235,4011.77369311235,86,19017,45,0.00450191069465529,0.656488549618321,0.00894249766039305,0.0182092956591603,0.98179070434084,0,0.263454305189235,0.344916409430268,0.119847166304702,-1.90016669644414,217.040049289897,1595.03274047939,0.00397103812144376,0.00405282175720516,3971.03812144376,4052.82175720516,8.17836357614029e-05
GenGamma-exact,41,27,1e-06,952,3,60,131,75,0.572519083969466,11534,5546807,0.00207939450570391,2079.39450570391,75,5625,56,0.0131578947368421,0.572519083969466,0.0257245755445035,0.393572715335835,0.606427284664165,0,0.73857398431715,0.895307057353129,0.119847166304702,-1.90016669644414,362.198433029807,1205.90927450834,0.00204165541521948,0.00211765486048764,2041.65541521949,2117.65486048764,7.59994452681576e-05
K,41,27,1e-06,952,2,60,131,6,0.0458015267175573,5,358576,1.39440453348802e-05,13.9440453348802,6,1,125,0.857142857142857,0.0458015267175573,0.0869565217391304,0.958739805579015,0.0412601944209848,0,NaN,NaN,0.119847166304702,-1.90016669644414,38.0313312901285,330.451053948117,4.52760856950919e-06,3.25404477252763e-05,4.52760856950919,32.5404477252763,2.80128391557671e-05
Lognormal,41,27,1e-06,952,2,60,131,19,0.145038167938931,729,9394273,7.76004699884706e-05,77.6004699884706,19,72,112,0.208791208791209,0.145038167938931,0.171171171171171,0,1,0,0.346188337368837,0.0410245405456887,0.119847166304702,-1.90016669644414,10.5641344429177,300.320575733963,7.20690398598198e-05,8.34437872417996e-05,72.0690398598198,83.4437872417996,1.13747473819798e-05
Weibull,41,27,1e-06,952,2,60,131,81,0.618320610687023,7964,9394273,0.000847750539078436,847.750539078436,81,1057,50,0.0711775043936731,0.618320610687023,0.127659574468085,0,1,0,3.70479957808441,0.41006762203633,0.119847166304702,-1.90016669644414,13.9291810360386,303.395025802196,0.000829240449888295,0.000866569363890164,829.240449888295,866.569363890164,3.73289140018693e-05
BurrXII,51,41,1e-06,920,3,60,131,39,0.297709923664122,203,3801048,5.34063237296661e-05,53.4063237296661,39,74,92,0.345132743362832,0.297709923664122,0.319672131147541,0.574245195075352,0.425754804924648,0,2.30033616903971,3.16748165084824,0.120487158112576,-1.87180061084232,376.04055785462,683.219704641337,4.63120400721988e-05,6.1279878253051e-05,46.3120400721988,61.279878253051,1.49678381808522e-05
CA-CFAR,51,41,1e-06,920,0,60,131,28,0.213740458015267,529,9394273,5.63109034621412e-05,56.3109034621412,28,54,103,0.341463414634146,0.213740458015267,0.262910798122066,0,1,0,NaN,NaN,0.120487158112576,-1.87180061084232,0,293.479646852823,5.161404603407e-05,6.13203250959639e-05,51.61404603407,61.3203250959639,9.70627906189392e-06
